id,merchant_id,name,description,price,image,temperature,weather_main,createdAt,updatedAt
1,1,Nasi Goreng Spesial,Nasi goreng lezat dengan tambahan telur dan ayam.,25000,NasiGoreng.jpg,0 - 20,"Clear, Clouds, Drizzle, Rain",2024-12-05T17:16:10.565Z,2024-12-05T17:16:10.565Z
2,2,Mie Goreng,Mie goreng lezat dengan tambahan telur dan ayam.,20000,MieGoreng.jpg,0 - 45,"Clear, Clouds, Drizzle, Rain",2024-12-05T17:16:10.565Z,2024-12-05T17:16:10.565Z
3,3,Mie Lendir,Mie Lendir lezat dengan tambahan telur dan ayam.,15000,MieLendir.jpg,0 - 45,"Clear, Clouds, Drizzle, Rain",2024-12-05T17:16:10.565Z,2024-12-05T17:16:10.565Z
4,4,Baso Malang,Bakso Malang lezat dengan kuah gurih dan enak.,15000,BasoMalang.jpg,25 – 45,"Drizzle, Rain",2024-12-05T17:16:10.565Z,2024-12-05T17:16:10.565Z
5,5,Batagor,Batagor Ikan lezat dengan kuah kering dari kacang.,10000,Batagor.png,25 – 45,"Clear, Clouds",2024-12-05T17:16:10.565Z,2024-12-05T17:16:10.565Z
6,6,Es Cendol,Es cendol seger,10000,EsCendol.jpg,25 – 45,"Clear, Clouds",2024-12-05T17:16:10.565Z,2024-12-05T17:16:10.565Z
7,7,Es Teler,Es teler seger,15000,EsTeler.jpg,25 – 45,"Clear, Clouds",2024-12-05T17:16:10.565Z,2024-12-05T17:16:10.565Z
8,8,Soto Bandoeng,Soto Bandoeng Mantap,20000,SotoBandung.jpg,0 - 20,"Drizzle, Rain",2024-12-05T17:16:10.565Z,2024-12-05T17:16:10.565Z
9,9,Bakso Tahu,Bakso Tahu Bandung dengan Bumbu Kacang,10000,BaksoTahu.jpg,0 - 45,"Clear, Clouds, Drizzle, Rain",2024-12-05T17:16:10.565Z,2024-12-05T17:16:10.565Z
10,10,Mie Kocok Bandung,"Mie kunir dengan kaldu sapi gurih, dilengkapi kikil, taoge, dan daun bawang.",25000,MiKocok.jpg,25 – 45,"Drizzle, Rain",2024-12-05T17:16:10.565Z,2024-12-05T17:16:10.565Z
11,11,Bandrek,"Minuman hangat yang terbuat dari jahe, gula merah, dan rempah-rempah lainnya",7000,Bandrek.jpg,0 - 20,"Drizzle, Rain",2024-12-05T17:16:10.565Z,2024-12-05T17:16:10.565Z
12,12,Es Kopi Susu,"Kopi susu yang disajikan dingin, dengan rasa kopi yang kuat dan susu kental manis",18000,EsKopiSusu.jpg,25 – 45,"Clear, Clouds",2024-12-05T17:16:10.565Z,2024-12-05T17:16:10.565Z
13,13,Serabi Bandung,Kue tradisional berbahan tepung beras yang dimasak di atas wajan kecil,5000,Serabi.jpg,25 – 45,"Drizzle, Rain",2024-12-05T17:16:10.565Z,2024-12-05T17:16:10.565Z
14,14,Pisang Molen,"Pisang yang dibungkus adonan tepung, digoreng garing, dan disajikan hangat",15000,PisanMolen.jpg,25 – 45,"Clear, Clouds, Drizzle, Rain",2024-12-05T17:16:10.565Z,2024-12-05T17:16:10.565Z
15,15,Kue Lapis Legit,Kue berlapis yang lembut dan manis,25000,KueLapisLegit.jpg,0 - 20,"Clear, Clouds, Drizzle, Rain",2024-12-05T17:16:10.565Z,2024-12-05T17:16:10.565Z
